HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.age_18_24.TRUE,Answer.age_25-29.TRUE,Answer.age_30-39.TRUE,Answer.age_40-44.TRUE,Answer.age_45-49.TRUE,Answer.age_50-59.TRUE,Answer.age_60-64.TRUE,Answer.age_65+.TRUE,Answer.attention,Answer.education_coll.TRUE,Answer.education_hs.TRUE,Answer.education_no_hs.TRUE,Answer.education_pg.TRUE,Answer.familiarity_none.TRUE,Answer.familiarity_some.TRUE,Answer.familiarity_very.TRUE,Answer.graffiti_complaint,Answer.noise_complaint,Answer.race_black.TRUE,Answer.race_his.TRUE,Answer.race_other.TRUE,Answer.race_white.TRUE,Answer.roadway_complaint,Answer.sex_female.TRUE,Answer.sex_male.TRUE,Approve,Reject
3AC6MFV69K38YQ6U7F3K0BOF2JRHZ3,3TAMZSB5GQOGVFE1JF79WKTUWSTQXY,Answer a quick survey about the 311 non-emergency system,This is a brief survey about the 311 non-emergency system. You'll answer a few quick questions regarding your experiences and opinions on the system.,"survey, 311, Stanford",$0.25 ,Wed Nov 13 22:31:27 PST 2019,200,BatchId:3835086;OriginalHitTemplateId:928390912;,180,86400,Thu Nov 14 22:31:27 PST 2019,,,3OF2M9AATH92M05W42BI1N0WZRWKZI,A37UHKPV76EOV5,Submitted,Thu Nov 14 00:29:48 PST 2019,Thu Nov 14 00:30:44 PST 2019,Fri Nov 15 00:30:44 PST 2019,,,,56,0% (0/0),0% (0/0),0% (0/0),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,TRUE,1,TRUE,FALSE,,
3AC6MFV69K38YQ6U7F3K0BOF2JRHZ3,3TAMZSB5GQOGVFE1JF79WKTUWSTQXY,Answer a quick survey about the 311 non-emergency system,This is a brief survey about the 311 non-emergency system. You'll answer a few quick questions regarding your experiences and opinions on the system.,"survey, 311, Stanford",$0.25 ,Wed Nov 13 22:31:27 PST 2019,200,BatchId:3835086;OriginalHitTemplateId:928390912;,180,86400,Thu Nov 14 22:31:27 PST 2019,,,39N5ACM9HF8OR0KZDWMRKGK2DX9P91,A2QLZ92VQ01A4Q,Submitted,Wed Nov 13 22:32:14 PST 2019,Wed Nov 13 22:33:34 PST 2019,Thu Nov 14 22:33:34 PST 2019,,,,80,0% (0/0),0% (0/0),0% (0/0),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,4,FALSE,FALSE,FALSE,TRUE,3,FALSE,TRUE,,
3AC6MFV69K38YQ6U7F3K0BOF2JRHZ3,3TAMZSB5GQOGVFE1JF79WKTUWSTQXY,Answer a quick survey about the 311 non-emergency system,This is a brief survey about the 311 non-emergency system. You'll answer a few quick questions regarding your experiences and opinions on the system.,"survey, 311, Stanford",$0.25 ,Wed Nov 13 22:31:27 PST 2019,200,BatchId:3835086;OriginalHitTemplateId:928390912;,180,86400,Thu Nov 14 22:31:27 PST 2019,,,3ZWFC4W1UVSI4NRRTAQ8Z76SIEWRFU,A4HS9NI3RXMZW,Submitted,Thu Nov 14 00:40:53 PST 2019,Thu Nov 14 00:43:40 PST 2019,Fri Nov 15 00:43:40 PST 2019,,,,167,0% (0/0),0% (0/0),0% (0/0),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,FALSE,FALSE,FALSE,TRUE,5,FALSE,TRUE,,
3AC6MFV69K38YQ6U7F3K0BOF2JRHZ3,3TAMZSB5GQOGVFE1JF79WKTUWSTQXY,Answer a quick survey about the 311 non-emergency system,This is a brief survey about the 311 non-emergency system. You'll answer a few quick questions regarding your experiences and opinions on the system.,"survey, 311, Stanford",$0.25 ,Wed Nov 13 22:31:27 PST 2019,200,BatchId:3835086;OriginalHitTemplateId:928390912;,180,86400,Thu Nov 14 22:31:27 PST 2019,,,32SVAV9L3GUVPUPH743K38SLFK43AQ,AIHVLBHJROONN,Submitted,Thu Nov 14 01:08:57 PST 2019,Thu Nov 14 01:09:21 PST 2019,Fri Nov 15 01:09:21 PST 2019,,,,24,0% (0/0),0% (0/0),0% (0/0),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,1,FALSE,FALSE,FALSE,TRUE,2,TRUE,FALSE,,
3AC6MFV69K38YQ6U7F3K0BOF2JRHZ3,3TAMZSB5GQOGVFE1JF79WKTUWSTQXY,Answer a quick survey about the 311 non-emergency system,This is a brief survey about the 311 non-emergency system. You'll answer a few quick questions regarding your experiences and opinions on the system.,"survey, 311, Stanford",$0.25 ,Wed Nov 13 22:31:27 PST 2019,200,BatchId:3835086;OriginalHitTemplateId:928390912;,180,86400,Thu Nov 14 22:31:27 PST 2019,,,3XC1O3LBOT7HKUEFJAY1UZCU2UCLT0,APSVUAAVJ5391,Submitted,Wed Nov 13 23:04:14 PST 2019,Wed Nov 13 23:04:47 PST 2019,Thu Nov 14 23:04:47 PST 2019,,,,33,0% (0/0),0% (0/0),0% (0/0),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,4,FALSE,FALSE,FALSE,TRUE,3,TRUE,FALSE,,
3AC6MFV69K38YQ6U7F3K0BOF2JRHZ3,3TAMZSB5GQOGVFE1JF79WKTUWSTQXY,Answer a quick survey about the 311 non-emergency system,This is a brief survey about the 311 non-emergency system. You'll answer a few quick questions regarding your experiences and opinions on the system.,"survey, 311, Stanford",$0.25 ,Wed Nov 13 22:31:27 PST 2019,200,BatchId:3835086;OriginalHitTemplateId:928390912;,180,86400,Thu Nov 14 22:31:27 PST 2019,,,33SA9F9TRYFV658HXTG84OT9YSXWEL,A304DRTDKYDG2N,Submitted,Thu Nov 14 01:40:57 PST 2019,Thu Nov 14 01:42:07 PST 2019,Fri Nov 15 01:42:07 PST 2019,,,,70,0% (0/0),0% (0/0),0% (0/0),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,3,FALSE,FALSE,FALSE,TRUE,4,TRUE,FALSE,,
3AC6MFV69K38YQ6U7F3K0BOF2JRHZ3,3TAMZSB5GQOGVFE1JF79WKTUWSTQXY,Answer a quick survey about the 311 non-emergency system,This is a brief survey about the 311 non-emergency system. You'll answer a few quick questions regarding your experiences and opinions on the system.,"survey, 311, Stanford",$0.25 ,Wed Nov 13 22:31:27 PST 2019,200,BatchId:3835086;OriginalHitTemplateId:928390912;,180,86400,Thu Nov 14 22:31:27 PST 2019,,,30LSNF239VGLAUCWFSHS1WBCLD6I2S,A1L1S0IAPZB4MO,Submitted,Wed Nov 13 23:23:12 PST 2019,Wed Nov 13 23:24:27 PST 2019,Thu Nov 14 23:24:27 PST 2019,,,,75,0% (0/0),0% (0/0),0% (0/0),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3,3,FALSE,FALSE,FALSE,TRUE,3,TRUE,FALSE,,
3AC6MFV69K38YQ6U7F3K0BOF2JRHZ3,3TAMZSB5GQOGVFE1JF79WKTUWSTQXY,Answer a quick survey about the 311 non-emergency system,This is a brief survey about the 311 non-emergency system. You'll answer a few quick questions regarding your experiences and opinions on the system.,"survey, 311, Stanford",$0.25 ,Wed Nov 13 22:31:27 PST 2019,200,BatchId:3835086;OriginalHitTemplateId:928390912;,180,86400,Thu Nov 14 22:31:27 PST 2019,,,3LYA37P8IR86422GYOVFF5TT7N6KB5,A22JV1E02E0VQO,Submitted,Wed Nov 13 22:32:14 PST 2019,Wed Nov 13 22:33:40 PST 2019,Thu Nov 14 22:33:40 PST 2019,,,,86,0% (0/0),0% (0/0),0% (0/0),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,4,FALSE,TRUE,FALSE,FALSE,4,FALSE,TRUE,,
3AC6MFV69K38YQ6U7F3K0BOF2JRHZ3,3TAMZSB5GQOGVFE1JF79WKTUWSTQXY,Answer a quick survey about the 311 non-emergency system,This is a brief survey about the 311 non-emergency system. You'll answer a few quick questions regarding your experiences and opinions on the system.,"survey, 311, Stanford",$0.25 ,Wed Nov 13 22:31:27 PST 2019,200,BatchId:3835086;OriginalHitTemplateId:928390912;,180,86400,Thu Nov 14 22:31:27 PST 2019,,,3TXWC2NHN0BL4S0R5DQLFLPD0HGS9K,A2FMSGRVFC2OL7,Submitted,Wed Nov 13 22:33:27 PST 2019,Wed Nov 13 22:33:49 PST 2019,Thu Nov 14 22:33:49 PST 2019,,,,22,0% (0/0),0% (0/0),0% (0/0),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3,3,FALSE,FALSE,TRUE,FALSE,3,FALSE,TRUE,,
3AC6MFV69K38YQ6U7F3K0BOF2JRHZ3,3TAMZSB5GQOGVFE1JF79WKTUWSTQXY,Answer a quick survey about the 311 non-emergency system,This is a brief survey about the 311 non-emergency system. You'll answer a few quick questions regarding your experiences and opinions on the system.,"survey, 311, Stanford",$0.25 ,Wed Nov 13 22:31:27 PST 2019,200,BatchId:3835086;OriginalHitTemplateId:928390912;,180,86400,Thu Nov 14 22:31:27 PST 2019,,,31IBVUNM9TKAXU882UVI04VV2J7VFM,A1TJMGX2H3IBPR,Submitted,Wed Nov 13 23:29:03 PST 2019,Wed Nov 13 23:29:27 PST 2019,Thu Nov 14 23:29:27 PST 2019,,,,24,0% (0/0),0% (0/0),0% (0/0),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,3,TRUE,FALSE,FALSE,FALSE,2,TRUE,FALSE,,
